,Episodes,Rewards
348,34,31.0
349,34,17.0
350,35,14.0
351,35,99.0
352,35,68.0
353,35,24.0
354,35,42.0
355,35,54.0
356,35,10.0
357,35,40.0
358,35,22.0
359,35,15.0
360,36,12.0
361,36,51.0
362,36,116.0
363,36,21.0
364,36,20.0
365,36,19.0
366,36,13.0
367,36,82.0
368,36,14.0
369,36,30.0
370,37,19.0
371,37,118.0
372,37,81.0
373,37,40.0
374,37,25.0
375,37,132.0
376,37,26.0
377,37,116.0
378,37,26.0
379,37,31.0
380,38,26.0
381,38,54.0
382,38,75.0
383,38,27.0
384,38,26.0
385,38,42.0
386,38,34.0
387,38,73.0
388,38,24.0
389,38,16.0
390,39,12.0
391,39,102.0
392,39,41.0
393,39,41.0
394,39,28.0
395,39,35.0
396,39,35.0
397,39,69.0
398,39,19.0
399,39,17.0
400,40,10.0
401,40,177.0
402,40,41.0
403,40,20.0
404,40,42.0
405,40,58.0
406,40,16.0
407,40,65.0
408,40,37.0
409,40,21.0
410,41,22.0
411,41,56.0
412,41,85.0
413,41,33.0
414,41,21.0
415,41,31.0
416,41,13.0
417,41,48.0
418,41,32.0
419,41,54.0
420,42,14.0
421,42,76.0
422,42,58.0
423,42,22.0
424,42,28.0
425,42,67.0
426,42,33.0
427,42,87.0
428,42,30.0
429,42,72.0
430,43,14.0
431,43,84.0
432,43,117.0
433,43,35.0
434,43,29.0
435,43,46.0
436,43,39.0
437,43,39.0
438,43,21.0
439,43,109.0
440,44,16.0
441,44,68.0
442,44,41.0
443,44,45.0
444,44,16.0
445,44,30.0
446,44,25.0
447,44,62.0
448,44,18.0
449,44,26.0
450,45,22.0
451,45,51.0
452,45,53.0
453,45,34.0
454,45,37.0
455,45,20.0
456,45,25.0
457,45,54.0
458,45,17.0
459,45,21.0
460,46,17.0
461,46,51.0
462,46,47.0
463,46,66.0
464,46,35.0
465,46,48.0
466,46,21.0
467,46,82.0
468,46,23.0
469,46,111.0
470,47,12.0
471,47,59.0
472,47,80.0
473,47,21.0
474,47,21.0
475,47,44.0
476,47,20.0
477,47,37.0
478,47,23.0
479,47,61.0
480,48,13.0
481,48,63.0
482,48,68.0
483,48,34.0
484,48,52.0
485,48,45.0
486,48,40.0
487,48,43.0
488,48,24.0
489,48,27.0
490,49,10.0
491,49,42.0
492,49,34.0
493,49,37.0
494,49,36.0
495,49,26.0
496,49,16.0
497,49,60.0
498,49,44.0
499,49,59.0
500,50,15.0
501,50,36.0
502,50,59.0
503,50,128.0
504,50,37.0
505,50,24.0
506,50,22.0
507,50,32.0
508,50,25.0
509,50,56.0
510,51,33.0
511,51,45.0
512,51,64.0
513,51,64.0
514,51,38.0
515,51,106.0
516,51,35.0
517,51,49.0
518,51,40.0
519,51,41.0
520,52,25.0
521,52,48.0
522,52,100.0
523,52,29.0
524,52,45.0
525,52,82.0
526,52,43.0
527,52,28.0
528,52,58.0
529,52,100.0
530,53,34.0
531,53,134.0
532,53,47.0
533,53,67.0
534,53,36.0
535,53,172.0
536,53,33.0
537,53,36.0
538,53,26.0
539,53,58.0
540,54,47.0
541,54,51.0
542,54,51.0
543,54,47.0
544,54,65.0
545,54,124.0
546,54,56.0
547,54,34.0
548,54,19.0
549,54,50.0
550,55,17.0
551,55,32.0
552,55,50.0
553,55,47.0
554,55,91.0
555,55,124.0
556,55,22.0
557,55,39.0
558,55,37.0
559,55,32.0
560,56,21.0
561,56,52.0
562,56,47.0
563,56,31.0
564,56,67.0
565,56,153.0
566,56,64.0
567,56,32.0
568,56,38.0
569,56,122.0
570,57,14.0
571,57,53.0
572,57,33.0
573,57,51.0
574,57,97.0
575,57,113.0
576,57,22.0
577,57,32.0
578,57,55.0
579,57,59.0
580,58,23.0
581,58,63.0
582,58,49.0
583,58,45.0
584,58,127.0
585,58,37.0
586,58,28.0
587,58,29.0
588,58,20.0
589,58,62.0
590,59,11.0
591,59,84.0
592,59,32.0
593,59,71.0
594,59,127.0
595,59,29.0
596,59,29.0
597,59,30.0
598,59,61.0
599,59,44.0
600,60,29.0
601,60,97.0
602,60,24.0
603,60,32.0
604,60,96.0
605,60,22.0
606,60,32.0
607,60,31.0
608,60,44.0
609,60,135.0
610,61,33.0
611,61,101.0
612,61,71.0
613,61,27.0
614,61,78.0
615,61,19.0
616,61,24.0
617,61,28.0
618,61,29.0
619,61,88.0
620,62,15.0
621,62,59.0
622,62,61.0
623,62,82.0
624,62,46.0
625,62,16.0
626,62,30.0
627,62,38.0
628,62,48.0
629,62,33.0
630,63,33.0
631,63,71.0
632,63,30.0
633,63,74.0
634,63,51.0
635,63,19.0
636,63,46.0
637,63,34.0
638,63,70.0
639,63,183.0
640,64,58.0
641,64,57.0
642,64,63.0
643,64,103.0
644,64,55.0
645,64,18.0
646,64,45.0
647,64,33.0
648,64,48.0
649,64,89.0
650,65,13.0
651,65,89.0
652,65,29.0
653,65,85.0
654,65,23.0
655,65,12.0
656,65,74.0
657,65,28.0
658,65,49.0
659,65,103.0
660,66,13.0
661,66,62.0
662,66,78.0
663,66,57.0
664,66,32.0
665,66,15.0
666,66,76.0
667,66,43.0
668,66,126.0
669,66,76.0
670,67,11.0
671,67,63.0
672,67,80.0
673,67,54.0
674,67,33.0
675,67,11.0
676,67,56.0
677,67,38.0
678,67,64.0
679,67,60.0
680,68,25.0
681,68,60.0
682,68,65.0
683,68,66.0
684,68,30.0
685,68,12.0
686,68,46.0
687,68,38.0
688,68,116.0
689,68,83.0
690,69,15.0
691,69,46.0
692,69,89.0
693,69,49.0
694,69,28.0
695,69,11.0
696,69,36.0
697,69,39.0
698,69,52.0
699,69,115.0
700,70,22.0
701,70,46.0
702,70,130.0
703,70,110.0
704,70,31.0
705,70,14.0
706,70,35.0
707,70,41.0
708,70,54.0
709,70,104.0
710,71,19.0
711,71,50.0
712,71,56.0
713,71,62.0
714,71,17.0
715,71,10.0
716,71,89.0
717,71,47.0
718,71,110.0
719,71,77.0
720,72,21.0
721,72,46.0
722,72,108.0
723,72,88.0
724,72,31.0
725,72,9.0
726,72,73.0
727,72,45.0
728,72,38.0
729,72,98.0
730,73,14.0
731,73,43.0
732,73,63.0
733,73,130.0
734,73,31.0
735,73,12.0
736,73,49.0
737,73,50.0
738,73,75.0
739,73,154.0
740,74,13.0
741,74,39.0
742,74,80.0
743,74,119.0
744,74,22.0
745,74,9.0
746,74,56.0
747,74,50.0
748,74,77.0
749,74,108.0
750,75,33.0
751,75,122.0
752,75,80.0
753,75,80.0
754,75,23.0
755,75,10.0
756,75,42.0
757,75,57.0
758,75,55.0
759,75,124.0
760,76,32.0
761,76,66.0
762,76,98.0
763,76,91.0
764,76,27.0
765,76,9.0
766,76,35.0
767,76,42.0
768,76,71.0
769,76,79.0
770,77,13.0
771,77,38.0
772,77,105.0
773,77,71.0
774,77,29.0
775,77,9.0
776,77,44.0
777,77,58.0
778,77,81.0
779,77,63.0
780,78,22.0
781,78,106.0
782,78,127.0
783,78,64.0
784,78,25.0
785,78,10.0
786,78,53.0
787,78,62.0
788,78,93.0
789,78,45.0
790,79,21.0
791,79,66.0
792,79,85.0
793,79,51.0
794,79,27.0
795,79,9.0
796,79,47.0
797,79,65.0
798,79,52.0
799,79,76.0
800,80,14.0
801,80,69.0
802,80,107.0
803,80,45.0
804,80,30.0
805,80,12.0
806,80,50.0
807,80,54.0
808,80,67.0
809,80,30.0
810,81,73.0
811,81,65.0
812,81,73.0
813,81,44.0
814,81,28.0
815,81,10.0
816,81,16.0
817,81,75.0
818,81,58.0
819,81,58.0
820,82,13.0
821,82,70.0
822,82,56.0
823,82,49.0
824,82,21.0
825,82,12.0
826,82,57.0
827,82,64.0
828,82,90.0
829,82,68.0
830,83,32.0
831,83,86.0
832,83,131.0
833,83,45.0
834,83,30.0
835,83,12.0
836,83,47.0
837,83,78.0
838,83,66.0
839,83,50.0
840,84,15.0
841,84,77.0
842,84,75.0
843,84,38.0
844,84,27.0
845,84,11.0
846,84,60.0
847,84,69.0
848,84,88.0
849,84,49.0
850,85,13.0
851,85,56.0
852,85,81.0
853,85,31.0
854,85,28.0
855,85,9.0
856,85,45.0
857,85,59.0
858,85,69.0
859,85,39.0
860,86,18.0
861,86,46.0
862,86,125.0
863,86,33.0
864,86,27.0
865,86,9.0
866,86,57.0
867,86,53.0
868,86,86.0
869,86,44.0
870,87,38.0
871,87,114.0
872,87,85.0
873,87,30.0
874,87,30.0
875,87,9.0
876,87,83.0
877,87,46.0
878,87,59.0
879,87,40.0
880,88,16.0
881,88,55.0
882,88,103.0
883,88,41.0
884,88,24.0
885,88,9.0
886,88,70.0
887,88,47.0
888,88,73.0
889,88,59.0
890,89,32.0
891,89,114.0
892,89,65.0
893,89,39.0
894,89,32.0
895,89,9.0
896,89,81.0
897,89,48.0
898,89,74.0
899,89,38.0
900,90,18.0
901,90,59.0
902,90,66.0
903,90,53.0
904,90,36.0
905,90,10.0
906,90,136.0
907,90,39.0
908,90,117.0
909,90,41.0
910,91,14.0
911,91,57.0
912,91,56.0
913,91,50.0
914,91,31.0
915,91,9.0
916,91,136.0
917,91,36.0
918,91,80.0
919,91,61.0
920,92,18.0
921,92,56.0
922,92,57.0
923,92,52.0
924,92,27.0
925,92,10.0
926,92,188.0
927,92,35.0
928,92,64.0
929,92,43.0
930,93,41.0
931,93,68.0
932,93,78.0
933,93,65.0
934,93,43.0
935,93,12.0
936,93,79.0
937,93,35.0
938,93,142.0
939,93,40.0
940,94,61.0
941,94,81.0
942,94,67.0
943,94,80.0
944,94,36.0
945,94,9.0
946,94,72.0
947,94,29.0
948,94,69.0
949,94,32.0
950,95,33.0
951,95,58.0
952,95,54.0
953,95,104.0
954,95,36.0
955,95,9.0
956,95,86.0
957,95,30.0
958,95,92.0
959,95,48.0
960,96,26.0
961,96,77.0
962,96,48.0
963,96,145.0
964,96,42.0
965,96,9.0
966,96,87.0
967,96,30.0
968,96,130.0
969,96,27.0
970,97,96.0
971,97,71.0
972,97,51.0
973,97,188.0
974,97,37.0
975,97,9.0
976,97,73.0
977,97,29.0
978,97,86.0
979,97,70.0
980,98,44.0
981,98,121.0
982,98,57.0
983,98,188.0
984,98,42.0
985,98,9.0
986,98,71.0
987,98,28.0
988,98,85.0
989,98,29.0
990,99,45.0
991,99,91.0
992,99,58.0
993,99,152.0
994,99,42.0
995,99,9.0
996,99,80.0
997,99,27.0
998,99,53.0
999,99,25.0
1000,100,34.0
1001,100,76.0
1002,100,51.0
1003,100,148.0
1004,100,44.0
1005,100,9.0
1006,100,49.0
1007,100,26.0
1008,100,58.0
1009,100,64.0
1010,101,51.0
1011,101,80.0
1012,101,67.0
1013,101,95.0
1014,101,40.0
1015,101,10.0
1016,101,75.0
1017,101,25.0
1018,101,63.0
1019,101,67.0
1020,102,60.0
1021,102,99.0
1022,102,64.0
1023,102,89.0
1024,102,44.0
1025,102,10.0
1026,102,75.0
1027,102,23.0
1028,102,51.0
1029,102,60.0
1030,103,69.0
1031,103,75.0
1032,103,56.0
1033,103,88.0
1034,103,35.0
1035,103,10.0
1036,103,77.0
1037,103,25.0
1038,103,48.0
1039,103,54.0
1040,104,52.0
1041,104,140.0
1042,104,47.0
1043,104,95.0
1044,104,42.0
1045,104,9.0
1046,104,82.0
1047,104,22.0
1048,104,39.0
1049,104,55.0
1050,105,47.0
1051,105,94.0
1052,105,68.0
1053,105,81.0
1054,105,40.0
1055,105,9.0
1056,105,79.0
1057,105,23.0
1058,105,47.0
1059,105,59.0
1060,106,29.0
1061,106,65.0
1062,106,62.0
1063,106,82.0
1064,106,42.0
1065,106,9.0
1066,106,71.0
1067,106,26.0
1068,106,50.0
1069,106,44.0
1070,107,47.0
1071,107,100.0
1072,107,84.0
1073,107,93.0
1074,107,34.0
1075,107,9.0
1076,107,94.0
1077,107,24.0
1078,107,45.0
1079,107,112.0
1080,108,69.0
1081,108,86.0
1082,108,85.0
1083,108,84.0
1084,108,33.0
1085,108,10.0
1086,108,77.0
1087,108,23.0
1088,108,39.0
1089,108,62.0
1090,109,40.0
1091,109,150.0
1092,109,97.0
1093,109,88.0
1094,109,42.0
1095,109,9.0
1096,109,60.0
1097,109,21.0
1098,109,41.0
1099,109,103.0
1100,110,50.0
1101,110,78.0
1102,110,104.0
1103,110,86.0
1104,110,42.0
1105,110,9.0
1106,110,81.0
1107,110,22.0
1108,110,38.0
1109,110,107.0
1110,111,35.0
1111,111,81.0
1112,111,142.0
1113,111,103.0
1114,111,39.0
1115,111,10.0
1116,111,51.0
1117,111,21.0
1118,111,38.0
1119,111,107.0
1120,112,45.0
1121,112,152.0
1122,112,139.0
1123,112,115.0
1124,112,36.0
1125,112,9.0
1126,112,87.0
1127,112,23.0
1128,112,34.0
1129,112,134.0
1130,113,41.0
1131,113,85.0
1132,113,156.0
1133,113,161.0
1134,113,36.0
1135,113,9.0
1136,113,99.0
1137,113,21.0
1138,113,39.0
1139,113,95.0
1140,114,30.0
1141,114,91.0
1142,114,156.0
1143,114,173.0
1144,114,31.0
1145,114,9.0
1146,114,49.0
1147,114,21.0
1148,114,34.0
